N,Pergunta,Perfil
1,1. Gosto de resolver problemas de matemática ou lógica.,CONSTRUTOR
2,2. Prefiro atividades que envolvam ajudar pessoas em dificuldades.,CUIDADOR
3,3. Tenho facilidade em liderar grupos ou organizar tarefas.,ORGANIZADOR
4,"4. Sinto prazer em criar coisas novas, como desenhos, músicas ou textos.",CRIADOR
5,"5. Gosto de mexer em computadores, softwares ou tecnologias.",CONSTRUTOR
6,6. Prefiro aprender por meio de experiências práticas.,CONSTRUTOR
7,7. Me sinto confortável falando em público.,ORGANIZADOR
8,8. Tenho curiosidade em entender como funcionam máquinas ou equipamentos.,CONSTRUTOR
9,9. Gosto de ouvir e aconselhar amigos.,CUIDADOR
10,10. Prefiro atividades ao ar livre e em contato com a natureza.,VISIONARIO
11,11. Tenho disciplina para cumprir prazos e regras.,ORGANIZADOR
12,12. Gosto de observar detalhes que passam despercebidos para outros.,CONSTRUTOR
13,13. Gosto de atividades que envolvem cálculos financeiros ou planilhas.,ORGANIZADOR
14,14. Prefiro trabalhos que exijam cooperação em equipe.,ORGANIZADOR
15,15. Tenho iniciativa para começar projetos sem que me peçam.,ORGANIZADOR
16,16. Adoro expressar minhas ideias por meio da arte.,CRIADOR
17,17. Gosto de desmontar e montar coisas para ver como funcionam.,CONSTRUTOR
18,18. Aprendo mais rápido quando posso aplicar na prática.,CONSTRUTOR
19,19. Consigo convencer pessoas a apoiarem minhas ideias.,ORGANIZADOR
20,20. Tenho interesse em pesquisar novas descobertas científicas.,VISIONARIO
21,"21. Sinto satisfação em cuidar de crianças, idosos ou doentes.",CUIDADOR
22,"22. Gosto de planejar viagens, eventos ou cronogramas.",ORGANIZADOR
23,23. Tenho paciência para repetir tarefas até ficarem perfeitas.,CONSTRUTOR
24,"24. Gosto de analisar gráficos, estatísticas ou dados.",CONSTRUTOR
25,25. Prefiro escrever textos criativos ou contar histórias.,CRIADOR
26,26. Gosto de debater ideias e defender pontos de vista.,ORGANIZADOR
27,27. Tenho habilidade em esportes ou atividades físicas.,VISIONARIO
28,28. Gosto de planejar metas e estabelecer estratégias para alcançá-las.,ORGANIZADOR
29,29. Tenho curiosidade em aprender novos idiomas.,VISIONARIO
30,30. Gosto de ajudar em causas sociais ou voluntariado.,CUIDADOR
31,31. Me sinto bem organizando informações ou documentos.,ORGANIZADOR
32,32. Gosto de imaginar invenções que poderiam facilitar a vida das pessoas.,CRIADOR
33,33. Prefiro trabalhos em que eu possa seguir regras bem definidas.,ORGANIZADOR
34,34. Tenho facilidade em lidar com situações de emergência ou pressão.,CONSTRUTOR
35,35. Gosto de observar e analisar o comportamento humano.,CUIDADOR
36,36. Prefiro resolver exercícios de matemática a escrever redações.,CONSTRUTOR
37,"37. Gosto de desenhar, pintar ou criar artes visuais.",CRIADOR
38,38. Me sinto realizado ao ensinar algo para outra pessoa.,CUIDADOR
39,39. Prefiro resolver problemas práticos em vez de discutir teorias.,CONSTRUTOR
40,40. Tenho interesse em estudar o funcionamento do corpo humano.,CUIDADOR
41,41. Gosto de cuidar de animais.,CUIDADOR
42,"42. Prefiro desafios intelectuais, como xadrez ou quebra-cabeças.",VISIONARIO
43,43. Me sinto motivado ao participar de competições.,VISIONARIO
44,44. Gosto de elaborar planos detalhados para atingir objetivos.,ORGANIZADOR
45,45. Tenho sensibilidade para perceber os sentimentos dos outros.,CUIDADOR
46,46. Gosto de acompanhar notícias sobre ciência e tecnologia.,VISIONARIO
47,47. Prefiro profissões que me permitam viajar ou conhecer novos lugares.,VISIONARIO
48,"48. Tenho interesse em política, justiça ou leis.",ORGANIZADOR
49,49. Prefiro ambientes organizados e previsíveis.,ORGANIZADOR
50,50. Gosto de improvisar soluções criativas diante de imprevistos.,CRIADOR
51,51. Me sinto confortável trabalhando em grupo.,ORGANIZADOR
52,52. Prefiro profissões em que eu tenha autonomia e liberdade.,VISIONARIO
53,53. Tenho interesse em aprender sobre investimentos ou negócios.,ORGANIZADOR
54,54. Gosto de tocar instrumentos musicais ou cantar.,CRIADOR
55,55. Prefiro atividades que exijam concentração e paciência.,CONSTRUTOR
56,56. Me sinto motivado em trabalhos que tenham impacto social.,CUIDADOR
57,"57. Tenho curiosidade em explorar o espaço, a natureza ou o desconhecido.",VISIONARIO
58,58. Prefiro trabalhos em que eu possa ajudar a manter a ordem e a segurança.,ORGANIZADOR
59,59. Tenho interesse em empreender e abrir meu próprio negócio.,ORGANIZADOR
60,60. Gosto de refletir sobre o sentido da vida e questões espirituais.,VISIONARIO
